channel_id,channel_title,channel_description,published_at,country,total_views,subscriber_count,video_count,processed_at,created_at,title,tier_category,uploads_playlist_id,last_checked_at
UCDdPJHmxHCJLH1sDyytCATw,Chef RV Manabat,,,Unknown,419928624,2310000,0,2026-07-25 18:31:37.305947+00,2026-07-25 18:31:37.305947+00,Chef RV Manabat,,UUDdPJHmxHCJLH1sDyytCATw,
UCDm4BW0Q5d-zASSuRyvPGXw,Wishma Lokaya,,,LK,388322453,2780000,0,2026-07-25 18:31:37.305947+00,2026-07-25 18:31:37.305947+00,Wishma Lokaya,,UUDm4BW0Q5d-zASSuRyvPGXw,
UCDO8zlJiV9ZgaMMK2DyX1Dw,BILLA LITE,,,LK,11649029,181000,0,2026-07-25 18:31:37.305947+00,2026-07-25 18:31:37.305947+00,BILLA LITE,,UUDO8zlJiV9ZgaMMK2DyX1Dw,
UCdTL_n9uC2_DlLX7ohcKpVQ,MrShan Vlog,,,LK,1274648,5960,0,2026-07-25 18:31:37.305947+00,2026-07-25 18:31:37.305947+00,MrShan Vlog,,UUdTL_n9uC2_DlLX7ohcKpVQ,
UCdY0SS4tZPdWdQ6m5bX-ZBg,TRAVEL with RANDIKA,,,LK,65396,1380,0,2026-07-25 18:31:37.305947+00,2026-07-25 18:31:37.305947+00,TRAVEL with RANDIKA,,UUdY0SS4tZPdWdQ6m5bX-ZBg,
UCe13xXtdfx_n0_z1qeXV6_g,M Entertainments,,,LK,667525026,1250000,0,2026-07-25 18:31:37.305947+00,2026-07-25 18:31:37.305947+00,M Entertainments,,UUe13xXtdfx_n0_z1qeXV6_g,
UCEa6e_J_Xs_GKCzG8Eq15Xw,SGM Tunes,,,LK,565037015,1580000,0,2026-07-25 18:31:37.305947+00,2026-07-25 18:31:37.305947+00,SGM Tunes,,UUEa6e_J_Xs_GKCzG8Eq15Xw,
UCEAjJ7_uNZDGzmFQiSFIQ7A,ජන පදය,,,LK,12,957,0,2026-07-25 18:31:37.305947+00,2026-07-25 18:31:37.305947+00,ජන පදය,,UUEAjJ7_uNZDGzmFQiSFIQ7A,
UCEjCyBoWP57QRkmFRz-aOGw,WOW ENGLISH,,,GB,398771489,1110000,0,2026-07-25 18:31:37.305947+00,2026-07-25 18:31:37.305947+00,WOW ENGLISH,,UUEjCyBoWP57QRkmFRz-aOGw,
UCEmrzEYds6XN_7dd_5_XnrA,SSundee Best Moments,,,LK,551606742,680000,0,2026-07-25 18:31:37.305947+00,2026-07-25 18:31:37.305947+00,SSundee Best Moments,,UUEmrzEYds6XN_7dd_5_XnrA,
UCEoihco2ah097z2YwYOtojw,Tiny Bunny,,,KR,47649950,70800,0,2026-07-25 18:31:37.305947+00,2026-07-25 18:31:37.305947+00,Tiny Bunny,,UUEoihco2ah097z2YwYOtojw,
